"meta_key","COUNT(*)"
"_aal_elementor_install_notice",5
"_itsec_email_confirmed",406
"_itsec_has_logged_in",18603
"_itsec_login_interstitial_state",4
"_itsec_password_requirements",3242
"_mc4wp_review_notice_dismissed",2
"_yoast_wpseo_profile_updated",14973
"activation_key",3
"address_profile",20
"admin_color",21363
"aioseop_seen_about_page",1
"bp_favorite_activities",9
"bp_latest_update",22
"bp_new_mention_count",7
"bp_new_mentions",7
"changes_email",6
"changes_push_notifications",3
"changes_web",5
"closed_notices",291
"closedpostboxes_users_page_bp-profile-edit",2
"comment_shortcuts",21363
"comments_email",6
"comments_push_notifications",2
"comments_web",3
"community-events-location",14
"contact_id",83
"default_password_nag",1575
"description",21363
"description_ar",48
"description_ar_jo",9
"description_bho",23
"description_bn",26
"description_de",3
"description_es",309
"description_fa",310
"description_fr",25
"description_gu",3
"description_ha",23
"description_hi",307
"description_id",57
"description_it",26
"description_ja",3
"description_kn",4
"description_ko",15
"description_lo",10
"description_ml",3
"description_mr",26
"description_or",25
"description_pa",10
"description_pt",23
"description_ro",4
"description_ru",11
"description_sl",1
"description_so",56
"description_swa",29
"description_ta",25
"description_te",46
"description_th",309
"description_vi",3
"description_yo",10
"description_zhcn",26
"description_zhtw",26
"dismissed_wp_pointers",1579
"dt_availability",8
"dt_follow_all",1
"dt_user_personal_address",202
"dt_user_personal_email",202
"dt_user_personal_phone",202
"dt_user_work_email",202
"dt_user_work_facebook",202
"dt_user_work_phone",202
"dt_user_work_whatsapp",202
"edit_articles_per_page",1
"edit_page_per_page",3
"facebook",171
"facebook_session_token",493
"facebook_sso_email",493
"facebook_sso_id",493
"first_name",21363
"google_session_token",11419
"google_sso_email",11419
"google_sso_id",11419
"googleplus",66
"gplus",83
"instagram",27
"ip_location_grid_meta",21305
"itsec_last_password_change",2303
"itsec_logs_page_screen_options",2
"itsec_user_activity_last_seen",19243
"itsec-password-strength",3242
"itsec-settings-view",5
"last_activity",7332
"last_login_time",1
"last_name",21363
"linkedin",27
"locale",21363
"location_grid_meta",21208
"mailchimp_emails_sent",2771
"mailchimp_sync_dcc3f0b14e",19847
"manageedit-articlescolumnshidden",1
"manageedit-pagecolumnshidden",5
"managenav-menuscolumnshidden",9
"manageuploadcolumnshidden",1
"manageuserscolumnshidden",1
"mc4wp_sync_last_updated",19849
"mc4wp_sync_remote_email_address",19847
"mentions_email",9
"mentions_push_notifications",2
"meta-box-order_dashboard",1
"meta-box-order_dt_webform_forms",1
"meta-box-order_groups",1
"meta-box-order_locations",1
"meta-box-order_page",2
"meta-box-order_peoplegroups",1
"meta-box-order_site_link_system",1
"metaboxhidden_articles",2
"metaboxhidden_attachment",1
"metaboxhidden_bp-email",1
"metaboxhidden_dashboard",3
"metaboxhidden_dashboard-user",3
"metaboxhidden_dt_webform_forms",1
"metaboxhidden_locations",2
"metaboxhidden_nav-menus",9
"metaboxhidden_page",4
"metaboxhidden_playbook",1
"metaboxhidden_reports",1
"metaboxhidden_site_link_system",1
"metaboxhidden_toplevel_page_bp-groups",4
"metaboxhidden_users_page_bp-profile-edit",2
"metaboxhidden_zume_download",2
"metaboxhidden_zume_video",1
"milestones_email",5
"milestones_push_notifications",2
"milestones_web",4
"msum_has_caps",1965
"myspace",27
"nav_menu_recently_edited",8
"new_assigned_push_notifications",4
"nickname",21363
"nsur_prompt_timeout",98
"nsur_start_date",98
"pinterest",27
"pll_dismissed_notices",2
"pll_filter_content",4
"primary_blog",19874
"rich_editing",21363
"sb_we_last_sent",1
"screen_layout_dt_webform_forms",1
"screen_layout_groups",1
"screen_layout_locations",1
"screen_layout_page",2
"screen_layout_peoplegroups",1
"screen_layout_site_link_system",1
"session_tokens",19291
"show_admin_bar_front",21363
"show_try_gutenberg_panel",3
"show_welcome_panel",4
"soundcloud",27
"source_domain",19736
"synced_mailchimp",4927
"syntax_highlighting",19351
"tgmpa_dismissed_notice_disciple_tools",2
"tgmpa_dismissed_notice_zume",1
"three_month_plan",473
"total_friend_count",8
"total_group_count",1467
"tumblr",27
"twitter",171
"updates_email",5
"updates_push_notifications",2
"upload_per_page",1
"use_ssl",21363
"users_network_per_page",1
"users_per_page",3
"wikipedia",27
"wp_11_last_rest_call",1
"wp_12_capabilities",7
"wp_12_dashboard_quick_press_last_post_id",5
"wp_12_last_rest_call",1
"wp_12_user_level",7
"wp_12_user-settings",2
"wp_12_user-settings-time",2
"wp_12_yoast_notifications",2
"wp_13_corresponds_to_contact",1
"wp_13_last_rest_call",1
"wp_14_corresponds_to_contact",1
"wp_14_dashboard_quick_press_last_post_id",1
"wp_14_last_rest_call",1
"wp_15_capabilities",3
"wp_15_corresponds_to_contact",4
"wp_15_dt_cached_filters_contacts",2
"wp_15_dt_cached_filters_groups",2
"wp_15_dt_cached_filters_trainings",2
"wp_15_dt_push_tokens",1
"wp_15_dt_release_notification",2
"wp_15_last_rest_call",2
"wp_15_location_grid",6
"wp_15_location_grid_meta",6
"wp_15_prayer_calendar_app_daily",1
"wp_15_user_languages",1
"wp_15_user_level",3
"wp_15_user_status",3
"wp_15_workload_status",3
"wp_16_corresponds_to_contact",3
"wp_16_dt_cached_filters_",1
"wp_16_dt_cached_filters_contacts",3
"wp_16_dt_cached_filters_groups",3
"wp_16_dt_cached_filters_trainings",2
"wp_16_dt_release_notification",1
"wp_16_last_rest_call",3
"wp_17_last_rest_call",1
"wp_18_last_rest_call",1
"wp_19_capabilities",2
"wp_19_corresponds_to_contact",2
"wp_19_dashboard_quick_press_last_post_id",1
"wp_19_last_rest_call",1
"wp_19_user_level",2
"wp_19_user-settings",1
"wp_19_user-settings-time",1
"wp_20_corresponds_to_contact",1
"wp_20_last_rest_call",1
"wp_21_corresponds_to_contact",1
"wp_21_last_rest_call",1
"wp_22_corresponds_to_contact",1
"wp_22_last_rest_call",1
"wp_23_corresponds_to_contact",1
"wp_23_last_rest_call",1
"wp_24_corresponds_to_contact",1
"wp_24_last_rest_call",1
"wp_25_last_rest_call",1
"wp_26_last_rest_call",1
"wp_27_last_rest_call",1
"wp_28_last_rest_call",1
"wp_29_corresponds_to_contact",1
"wp_29_last_rest_call",1
"wp_3_capabilities",141
"wp_3_corresponds_to_contact",225
"wp_3_dt_cached_filters_contacts",106
"wp_3_dt_cached_filters_groups",86
"wp_3_dt_cached_filters_streams",43
"wp_3_dt_cached_filters_trainings",82
"wp_3_dt_push_tokens",2
"wp_3_dt_release_notification",77
"wp_3_last_rest_call",250
"wp_3_location_grid",212
"wp_3_location_grid_meta",212
"wp_3_prayer_calendar_app_daily",2
"wp_3_saved_filters",8
"wp_3_user_dates_unavailable",8
"wp_3_user_gender",23
"wp_3_user_languages",47
"wp_3_user_level",141
"wp_3_user_people_groups",10
"wp_3_user_status",140
"wp_3_user-settings",2
"wp_3_user-settings-time",2
"wp_3_workload_status",134
"wp_30_corresponds_to_contact",1
"wp_30_last_rest_call",1
"wp_31_corresponds_to_contact",1
"wp_31_last_rest_call",1
"wp_32_corresponds_to_contact",1
"wp_32_last_rest_call",1
"wp_33_corresponds_to_contact",1
"wp_33_last_rest_call",1
"wp_34_last_rest_call",1
"wp_35_corresponds_to_contact",1
"wp_35_last_rest_call",1
"wp_36_corresponds_to_contact",2
"wp_36_dt_cached_filters_",1
"wp_36_dt_cached_filters_contacts",2
"wp_36_dt_cached_filters_groups",2
"wp_36_dt_release_notification",1
"wp_36_last_rest_call",2
"wp_37_last_rest_call",1
"wp_38_corresponds_to_contact",1
"wp_38_last_rest_call",1
"wp_39_last_rest_call",1
"wp_4_corresponds_to_contact",6
"wp_40_corresponds_to_contact",1
"wp_40_last_rest_call",1
"wp_41_corresponds_to_contact",1
"wp_41_last_rest_call",1
"wp_42_corresponds_to_contact",1
"wp_42_last_rest_call",1
"wp_43_corresponds_to_contact",1
"wp_43_last_rest_call",1
"wp_44_corresponds_to_contact",1
"wp_45_corresponds_to_contact",1
"wp_45_last_rest_call",1
"wp_46_last_rest_call",1
"wp_47_last_rest_call",1
"wp_48_last_rest_call",1
"wp_49_corresponds_to_contact",1
"wp_49_last_rest_call",1
"wp_50_corresponds_to_contact",1
"wp_50_last_rest_call",1
"wp_51_corresponds_to_contact",1
"wp_51_last_rest_call",1
"wp_52_last_rest_call",1
"wp_53_corresponds_to_contact",1
"wp_53_last_rest_call",1
"wp_54_corresponds_to_contact",1
"wp_54_last_rest_call",1
"wp_55_last_rest_call",1
"wp_56_corresponds_to_contact",1
"wp_56_last_rest_call",1
"wp_57_last_rest_call",1
"wp_58_corresponds_to_contact",1
"wp_58_last_rest_call",2
"wp_59_last_rest_call",1
"wp_6_corresponds_to_contact",3
"wp_60_corresponds_to_contact",1
"wp_60_last_rest_call",1
"wp_61_corresponds_to_contact",1
"wp_61_last_rest_call",1
"wp_62_corresponds_to_contact",1
"wp_63_last_rest_call",1
