"user_id","meta_value"
2,"::1"
7,"45.130.83.199"
8,"69.164.159.14"
10,"107.77.237.177"
11,"104.194.220.21"
12,"193.37.253.71"
13,"104.194.220.80"
17,"209.251.144.85"
26,"12.163.113.30"
27,"172.223.36.134"
65,"162.243.29.229"
70,"162.243.29.229"
74,"162.243.29.229"
88,"68.33.117.180"
94,"173.81.177.17"
100,"156.159.93.79"
101,"5.62.57.103"
104,"72.139.193.48"
105,"36.233.7.33"
112,"2603:9000:5e0c:d993:e055:9704:262b:7644"
116,"2402:3a80:1811:6083:0:1f:bb1:db01"
117,"174.137.28.241"
118,"74.178.40.249"
120,"1.46.42.31"
121,"151.15.84.231"
125,"24.26.4.70"
126,"24.114.79.36"
133,"120.28.109.152"
141,"24.119.223.14"
148,"107.77.232.111"
151,"196.191.53.204"
186,"96.27.230.10"
190,"192.180.187.169"
193,"174.128.230.168"
202,"98.177.181.223"
203,"192.241.221.135"
209,"98.212.110.29"
218,"104.60.25.123"
227,"207.119.172.18"
269,"64.231.209.125"
273,"1.170.224.56"
275,"24.18.173.75"
276,"76.186.129.50"
300,"188.124.211.162"
307,"180.191.127.49"
325,"24.245.103.253"
327,"67.190.20.3"
329,"74.11.74.222"
332,"184.176.212.232"
335,"24.95.154.99"
338,"69.158.29.94"
339,"169.239.220.136"
399,"47.200.3.26"
405,"2600:1014:b108:d0bf:5194:cbab:e67e:612c"
407,"65.185.170.55"
415,"68.203.151.211"
417,"69.47.86.233"
420,"74.11.74.222"
424,"185.245.87.150"
429,"2603:6010:f00:1900:e549:dbfb:834f:c78d"
440,"68.50.190.89"
450,"2607:fcc8:bf41:3300:409b:786a:fd03:1f99"
461,"96.27.230.10"
464,"50.58.186.70"
465,"116.241.20.19"
480,"209.0.143.251"
484,"152.135.148.124"
490,"105.225.25.74"
491,"12.163.113.30"
512,"72.140.89.152"
519,"176.26.113.206"
524,"174.233.134.214"
531,"41.59.84.174"
534,"218.41.197.31"
543,"103.231.92.94"
548,"180.252.59.56"
550,"2601:206:8101:9cd3:2574:55cb:a04f:8ae2"
551,"74.143.84.194"
554,"100.14.64.73"
559,"24.96.140.172"
560,"75.4.182.193"
587,"2605:6000:1a12:193:529:6e0d:ef18:a911"
599,"75.175.75.136"
603,"68.44.251.59"
611,"41.90.26.171"
621,"24.254.186.174"
650,"66.153.141.222"
665,"68.102.25.192"
667,"156.158.129.37"
671,"162.154.138.23"
685,"184.145.131.84"
700,"75.88.99.71"
718,"197.184.224.54"
719,"5.171.215.52"
735,"198.49.157.151"
736,"2602:30a:c05a:1da0:3113:d5bf:609a:d694"
740,"47.198.31.249"
748,"75.105.167.101"
753,"184.22.84.195"
770,"73.208.65.225"
777,"2601:243:400:a10:8964:6769:36d2:e1d4"
788,"105.60.61.64"
791,"104.218.67.147"
796,"2607:fb90:3a17:b136:b9a0:cb75:74a7:f943"
797,"174.231.156.141"
798,"184.145.63.2"
805,"104.238.58.96"
806,"84.35.57.37"
815,"125.166.185.227"
820,"72.200.214.162"
821,"2605:a601:51ca:100:1094:7a34:b1ee:7fc6"
822,"50.224.118.170"
824,"2603:6010:6100:7f8e:e12f:10f2:caac:1841"
850,"197.149.195.101"
852,"2600:1700:c751:48d0:ed57:d66a:a432:70bc"
856,"24.35.185.81"
857,"170.10.15.216"
858,"2600:1700:4390:5270:288c:e40d:adc2:a53d"
860,"216.254.244.113"
862,"107.161.163.8"
873,"45.131.194.114"
884,"70.89.194.41"
898,"99.6.204.207"
901,"71.47.52.69"
906,"41.138.112.244"
908,"124.122.14.224"
913,"78.160.1.227"
935,"2.39.135.42"
936,"65.36.95.65"
982,"72.214.180.241"
991,"173.239.208.2"
